Date,water.level.above.sensor_RCW1,water.level.above.sensor_RCW2,water.level.above.sensor_RCW3,water.level.above.sensor_RCW6,depth.gw_ft_RCW1,depth.gw_ft_RCW2,depth.gw_ft_RCW3,depth.gw_ft_RCW6,WY
2020-05-23,0.258,0,6.226,8.314,9.25,4.626,2.396,1.194,2020
2020-05-30,0.25,0,5.945,7.695,9.258,4.626,2.677,1.813,2020
2020-06-06,0.247,0,5.743,7.176,9.261,4.626,2.879,2.332,2020
2020-06-13,0.242,0,5.588,6.887,9.266,4.626,3.034,2.621,2020
2020-06-20,0.242,0,5.309,6.524,9.266,4.626,3.313,2.984,2020
2020-06-27,0.246,0.001,5.055,6.163,9.262,4.625,3.567,3.345,2020
2020-07-04,0.149,0,4.727,5.637,9.359,4.626,3.895,3.871,2020
2020-07-11,0.194,0.001,4.171,5.279,9.314,4.625,4.451,4.229,2020
2020-07-18,0.192,0,3.525,4.795,9.316,4.626,5.097,4.713,2020
2020-07-25,0.193,0.001,2.972,4.37,9.315,4.625,5.65,5.138,2020
2020-08-01,0.19,0,2.508,3.983,9.318,4.626,6.114,5.525,2020
2020-08-08,0.195,0.001,2.128,3.618,9.313,4.625,6.494,5.89,2020
2020-08-15,0.186,0.001,1.774,3.279,9.322,4.625,6.848,6.229,2020
2020-08-22,0.157,0,1.457,2.98,9.351,4.626,7.165,6.528,2020
2020-08-29,0.167,0.001,1.142,2.691,9.341,4.625,7.48,6.817,2020
2020-09-05,0.168,0.001,0.819,2.405,9.34,4.625,7.803,7.103,2020
2020-09-12,0.163,0,0.502,2.126,9.345,4.626,8.12,7.382,2020
2020-09-19,0.162,0,0.282,1.857,9.346,4.626,8.34,7.651,2020
2020-09-26,0.16,0,0.221,1.586,9.348,4.626,8.401,7.922,2020
2020-10-03,0.157,0,0.161,1.326,9.351,4.626,8.461,8.182,2021
2020-10-10,0.149,0,0.048,1.07,9.359,4.626,8.574,8.438,2021
2020-10-17,0.146,0,0.018,0.844,9.362,4.626,8.604,8.664,2021
2020-10-24,0.13,0,0,0.572,9.378,4.626,8.622,8.936,2021
2020-10-31,0.134,0,0,0.326,9.374,4.626,8.622,9.182,2021
2020-11-07,0.113,0,0,0.149,9.395,4.626,8.622,9.359,2021
2020-11-14,0.127,0,0,0.187,9.381,4.626,8.622,9.321,2021
